rut_empresa,razon_social,n_titulares,n_hombres,n_mujeres,n_revisar,clasificacion_completa,pct_hombres,pct_mujeres,pct_max_mismo_sexo_calculado,umbral_aplicable,supera_umbral_composicion,pct_cmf_actual,diferencia_pp_vs_cmf,coincide_cmf_tolerancia_0_6pp,fecha_junta_actual,eleccion_post_entrada_ley,supera_umbral_y_eleccion_post_ley,pct_cmf_actual_num,pct_reconstruido_registro_nominal,sobre_umbral_sugerido_cmf,dentro_o_igual_umbral_sugerido_cmf,sobre_umbral_y_eleccion_post_ley_cmf,estado_regulatorio_cmf,delta_registro_vs_reporte_pp,delta_abs_registro_vs_reporte_pp,registro_nominal_consistente_0_6pp,denominadores_compatibles_cmf_3a25,n_titulares_compatible_con_pct_cmf,fecha_max_nombramiento_nominal,dias_max_nombramiento_vs_junta_cmf,diagnostico_consistencia,prioridad_revision,fuente_canonica_porcentaje,fuente_secundaria_nominal,pct_cmf_anterior,fecha_junta_anterior,supera_umbral_cmf_reportado,cumple_o_iguala_umbral_cmf_reportado,fuente_composicion_nominal
96874030,ABC S.A.,7,7,0,0,True,100.0,0.0,100.0,80.0,True,100.0,0.0,True,25/04/2024,False,False,100.0,100.0,True,False,False,PRE_LEY_NO_EVALUABLE,0.0,0.0,True,3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,True,25/04/2024,0,CONSISTENTE,,CMF_REPORTE_LEY_21757_NCG555,CMF_REGISTRO_DIRECTORES,,,True,False,CMF_REGISTRO_DIRECTORES
76215637,AGUAS ARAUCANIA S.A.,6,6,0,0,True,100.0,0.0,100.0,80.0,True,100.0,0.0,True,29/04/2026,True,True,100.0,100.0,True,False,True,POST_LEY_SOBRE_UMBRAL_SUGERIDO,0.0,0.0,True,3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,True,29/04/2026,0,CONSISTENTE,,CMF_REPORTE_LEY_21757_NCG555,CMF_REGISTRO_DIRECTORES,100.0,23/04/2025,True,False,CMF_REGISTRO_DIRECTORES
96703230,AGUAS DECIMA S.A.,6,6,0,0,True,100.0,0.0,100.0,80.0,True,100.0,0.0,True,30/04/2026,True,True,100.0,100.0,True,False,True,POST_LEY_SOBRE_UMBRAL_SUGERIDO,0.0,0.0,True,3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,True,29/04/2026,-1,CONSISTENTE,,CMF_REPORTE_LEY_21757_NCG555,CMF_REGISTRO_DIRECTORES,100.0,20/03/2026,True,False,CMF_REGISTRO_DIRECTORES
76215634,AGUAS DEL ALTIPLANO S.A.,6,6,0,0,True,100.0,0.0,100.0,80.0,True,100.0,0.0,True,29/04/2026,True,True,100.0,100.0,True,False,True,POST_LEY_SOBRE_UMBRAL_SUGERIDO,0.0,0.0,True,3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,True,29/04/2026,0,CONSISTENTE,,CMF_REPORTE_LEY_21757_NCG555,CMF_REGISTRO_DIRECTORES,100.0,23/04/2025,True,False,CMF_REGISTRO_DIRECTORES
76215628,AGUAS MAGALLANES S.A.,6,6,0,0,True,100.0,0.0,100.0,80.0,True,100.0,0.0,True,29/04/2026,True,True,100.0,100.0,True,False,True,POST_LEY_SOBRE_UMBRAL_SUGERIDO,0.0,0.0,True,3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,True,29/04/2026,0,CONSISTENTE,,CMF_REPORTE_LEY_21757_NCG555,CMF_REGISTRO_DIRECTORES,100.0,23/04/2025,True,False,CMF_REGISTRO_DIRECTORES
94270000,ALMENDRAL S.A.,7,7,0,0,True,100.0,0.0,100.0,80.0,True,100.0,0.0,True,26/04/2024,False,False,100.0,100.0,True,False,False,PRE_LEY_NO_EVALUABLE,0.0,0.0,True,3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,True,11/05/2026,745,CONSISTENTE,,CMF_REPORTE_LEY_21757_NCG555,CMF_REGISTRO_DIRECTORES,,,True,False,CMF_REGISTRO_DIRECTORES
76503273,AMERIS CAPITAL ADMINISTRADORA GENERAL DE FONDOS S.A.,5,5,0,0,True,100.0,0.0,100.0,80.0,True,100.0,0.0,True,30/04/2026,True,True,100.0,100.0,True,False,True,POST_LEY_SOBRE_UMBRAL_SUGERIDO,0.0,0.0,True,3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,True,30/04/2026,0,CONSISTENTE,,CMF_REPORTE_LEY_21757_NCG555,CMF_REGISTRO_DIRECTORES,100.0,30/04/2025,True,False,CMF_REGISTRO_DIRECTORES
91400000,ANDACOR S.A.,5,5,0,0,True,100.0,0.0,100.0,80.0,True,100.0,0.0,True,15/12/2025,False,False,100.0,100.0,True,False,False,PRE_LEY_NO_EVALUABLE,0.0,0.0,True,3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,True,15/12/2025,0,CONSISTENTE,,CMF_REPORTE_LEY_21757_NCG555,CMF_REGISTRO_DIRECTORES,,,True,False,CMF_REGISTRO_DIRECTORES
76172904,ASSET ADMINISTRADORA GENERAL DE FONDOS S.A.,5,5,0,0,True,100.0,0.0,100.0,80.0,True,100.0,0.0,True,30/04/2025,False,False,100.0,100.0,True,False,False,PRE_LEY_NO_EVALUABLE,0.0,0.0,True,3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,True,30/04/2025,0,CONSISTENTE,,CMF_REPORTE_LEY_21757_NCG555,CMF_REGISTRO_DIRECTORES,,,True,False,CMF_REGISTRO_DIRECTORES
96509660,BANCO FALABELLA,5,5,0,0,True,100.0,0.0,100.0,80.0,True,100.0,0.0,True,18/04/2024,False,False,100.0,100.0,True,False,False,PRE_LEY_NO_EVALUABLE,0.0,0.0,True,3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,True,14/09/2010,-4965,CONSISTENTE,,CMF_REPORTE_LEY_21757_NCG555,CMF_REGISTRO_DIRECTORES,,,True,False,CMF_REGISTRO_DIRECTORES
