rut_empresa,razon_social,n_titulares,n_hombres,n_mujeres,n_revisar,clasificacion_completa,pct_hombres,pct_mujeres,pct_max_mismo_sexo_calculado,umbral_aplicable,supera_umbral_composicion,pct_cmf_actual,diferencia_pp_vs_cmf,coincide_cmf_tolerancia_0_6pp,fecha_junta_actual,eleccion_post_entrada_ley,supera_umbral_y_eleccion_post_ley,pct_cmf_actual_num,pct_reconstruido_registro_nominal,sobre_umbral_sugerido_cmf,dentro_o_igual_umbral_sugerido_cmf,sobre_umbral_y_eleccion_post_ley_cmf,estado_regulatorio_cmf,delta_registro_vs_reporte_pp,delta_abs_registro_vs_reporte_pp,registro_nominal_consistente_0_6pp,denominadores_compatibles_cmf_3a25,n_titulares_compatible_con_pct_cmf,fecha_max_nombramiento_nominal,dias_max_nombramiento_vs_junta_cmf,diagnostico_consistencia,prioridad_revision,fuente_canonica_porcentaje,fuente_secundaria_nominal,pct_cmf_anterior,fecha_junta_anterior,supera_umbral_cmf_reportado,cumple_o_iguala_umbral_cmf_reportado,fuente_composicion_nominal
97018000,SCOTIABANK CHILE,7,7,0,0,True,100.0,0.0,100.0,80.0,True,57.14,42.86,False,24/04/2025,False,False,57.14,100.0,False,True,False,PRE_LEY_NO_EVALUABLE,42.86,42.86,False,7;14;21,True,04/08/2009,-5742,POSIBLE_SNAPSHOT_DISTINTO,ALTA,CMF_REPORTE_LEY_21757_NCG555,CMF_REGISTRO_DIRECTORES,,,False,True,CMF_REGISTRO_DIRECTORES
97951000,HSBC BANK (CHILE),5,5,0,0,True,100.0,0.0,100.0,80.0,True,60.0,40.0,False,29/04/2025,False,False,60.0,100.0,False,True,False,PRE_LEY_NO_EVALUABLE,40.0,40.0,False,5;10;15;20;25,True,29/04/2010,-5479,POSIBLE_SNAPSHOT_DISTINTO,ALTA,CMF_REPORTE_LEY_21757_NCG555,CMF_REGISTRO_DIRECTORES,,,False,True,CMF_REGISTRO_DIRECTORES
91873000,SADIA S.A.,5,5,0,0,True,100.0,0.0,100.0,80.0,True,60.0,40.0,False,21/04/2026,True,True,60.0,100.0,False,True,False,POST_LEY_DENTRO_UMBRAL_SUGERIDO,40.0,40.0,False,5;10;15;20;25,True,29/03/2011,-5502,POSIBLE_SNAPSHOT_DISTINTO,ALTA,CMF_REPORTE_LEY_21757_NCG555,CMF_REGISTRO_DIRECTORES,80.0,27/04/2023,False,True,CMF_REGISTRO_DIRECTORES
91853000,CAMPOS DEPORTIVOS LLACOLEN S.A.,7,7,0,0,True,100.0,0.0,100.0,80.0,True,71.43,28.57,False,22/04/2025,False,False,71.43,100.0,False,True,False,PRE_LEY_NO_EVALUABLE,28.569999999999993,28.569999999999993,False,7;14;21,True,28/07/2015,-3556,POSIBLE_SNAPSHOT_DISTINTO,ALTA,CMF_REPORTE_LEY_21757_NCG555,CMF_REGISTRO_DIRECTORES,,,False,True,CMF_REGISTRO_DIRECTORES
99500410,BANCO CONSORCIO,5,5,0,0,True,100.0,0.0,100.0,80.0,True,77.78,22.22,False,21/04/2026,True,True,77.78,100.0,False,True,False,POST_LEY_DENTRO_UMBRAL_SUGERIDO,22.22,22.22,False,9;18,False,26/11/2009,-5990,DISCORDANCIA_DENOMINADOR,ALTA,CMF_REPORTE_LEY_21757_NCG555,CMF_REGISTRO_DIRECTORES,77.78,23/04/2024,False,True,CMF_REGISTRO_DIRECTORES
97004000,BANCO DE CHILE,11,11,0,0,True,100.0,0.0,100.0,80.0,True,77.78,22.22,False,26/03/2026,True,True,77.78,100.0,False,True,False,POST_LEY_DENTRO_UMBRAL_SUGERIDO,22.22,22.22,False,9;18,False,11/03/2010,-5859,DISCORDANCIA_DENOMINADOR,ALTA,CMF_REPORTE_LEY_21757_NCG555,CMF_REGISTRO_DIRECTORES,82.0,23/03/2023,False,True,CMF_REGISTRO_DIRECTORES
97006000,BANCO DE CREDITO E INVERSIONES,8,8,0,0,True,100.0,0.0,100.0,80.0,True,77.78,22.22,False,09/04/2026,True,True,77.78,100.0,False,True,False,POST_LEY_DENTRO_UMBRAL_SUGERIDO,22.22,22.22,False,9;18,False,30/03/2010,-5854,DISCORDANCIA_DENOMINADOR,ALTA,CMF_REPORTE_LEY_21757_NCG555,CMF_REGISTRO_DIRECTORES,87.5,09/04/2025,False,True,CMF_REGISTRO_DIRECTORES
77465741,CGE TRANSMISION S.A.,5,5,0,0,True,100.0,0.0,100.0,80.0,True,80.0,20.0,False,22/04/2026,True,True,80.0,100.0,False,True,False,POST_LEY_DENTRO_UMBRAL_SUGERIDO,20.0,20.0,False,5;10;15;20;25,True,30/04/2026,8,DISCORDANCIA_COMPOSICION,ALTA,CMF_REPORTE_LEY_21757_NCG555,CMF_REGISTRO_DIRECTORES,80.0,21/04/2023,False,True,CMF_REGISTRO_DIRECTORES
96831690,COMPA#IA DE SEGUROS DE CREDITOS COFACE CHILE S.A.,1,0,1,0,True,0.0,100.0,100.0,80.0,True,80.0,20.0,False,30/04/2025,False,False,80.0,100.0,False,True,False,PRE_LEY_NO_EVALUABLE,20.0,20.0,False,5;10;15;20;25,False,01/09/2026,489,DISCORDANCIA_DENOMINADOR,ALTA,CMF_REPORTE_LEY_21757_NCG555,CMF_REGISTRO_DIRECTORES,,,False,True,CMF_REGISTRO_DIRECTORES
76411321,COMPAÑIA GENERAL DE ELECTRICIDAD S.A.,5,5,0,0,True,100.0,0.0,100.0,80.0,True,80.0,20.0,False,22/04/2026,True,True,80.0,100.0,False,True,False,POST_LEY_DENTRO_UMBRAL_SUGERIDO,20.0,20.0,False,5;10;15;20;25,True,30/04/2026,8,DISCORDANCIA_COMPOSICION,ALTA,CMF_REPORTE_LEY_21757_NCG555,CMF_REGISTRO_DIRECTORES,80.0,21/04/2023,False,True,CMF_REGISTRO_DIRECTORES
