rut_empresa,razon_social,estado,error
76625125,BAASKIT PAGOS S.A.,SIN_COMPOSICION_NOMINAL,RuntimeError('SIN_COMPOSICION_NOMINAL: la CMF devuelve la tabla de directorio sin personas (Sin Información).')
76362099,BANCO BTG PACTUAL CHILE,SIN_COMPOSICION_NOMINAL,RuntimeError('SIN_COMPOSICION_NOMINAL: la CMF devuelve la tabla de directorio sin personas (Sin Información).')
71518000,CLUB DE POLO Y EQUITACION SAN CRISTOBAL S.A.,SIN_COMPOSICION_NOMINAL,RuntimeError('SIN_COMPOSICION_NOMINAL: la CMF devuelve la tabla de directorio sin personas (Sin Información).')
77509915,COMPAÑÍA EMISORA DE MEDIOS DE PAGO DIGITALES S.A.,SIN_COMPOSICION_NOMINAL,RuntimeError('SIN_COMPOSICION_NOMINAL: la CMF devuelve la tabla de directorio sin personas (Sin Información).')
77312496,DIGITAL PAYMENTS PREPAGO S.A,SIN_COMPOSICION_NOMINAL,RuntimeError('SIN_COMPOSICION_NOMINAL: la CMF devuelve la tabla de directorio sin personas (Sin Información).')
77535416,FINTUAL PREPAGO S.A.,SIN_COMPOSICION_NOMINAL,RuntimeError('SIN_COMPOSICION_NOMINAL: la CMF devuelve la tabla de directorio sin personas (Sin Información).')
96712290,FISO S.A.,SIN_COMPOSICION_NOMINAL,RuntimeError('SIN_COMPOSICION_NOMINAL: la CMF devuelve la tabla de directorio sin personas (Sin Información).')
77096794,GLOBAL CARD S.A.,SIN_COMPOSICION_NOMINAL,RuntimeError('SIN_COMPOSICION_NOMINAL: la CMF devuelve la tabla de directorio sin personas (Sin Información).')
99504480,HACIENDA CHICUREO CLUB S.A.,SIN_COMPOSICION_NOMINAL,RuntimeError('SIN_COMPOSICION_NOMINAL: la CMF devuelve la tabla de directorio sin personas (Sin Información).')
76265724,INVERSIONES LP S.A.,SIN_COMPOSICION_NOMINAL,RuntimeError('SIN_COMPOSICION_NOMINAL: la CMF devuelve la tabla de directorio sin personas (Sin Información).')
85325100,INVERSIONES Y TARJETAS S.A.,SIN_COMPOSICION_NOMINAL,RuntimeError('SIN_COMPOSICION_NOMINAL: la CMF devuelve la tabla de directorio sin personas (Sin Información).')
99546900,ISWITCH S.A.,SIN_COMPOSICION_NOMINAL,RuntimeError('SIN_COMPOSICION_NOMINAL: la CMF devuelve la tabla de directorio sin personas (Sin Información).')
77597984,KUSHKI OPERADORA S.A.,SIN_COMPOSICION_NOMINAL,RuntimeError('SIN_COMPOSICION_NOMINAL: la CMF devuelve la tabla de directorio sin personas (Sin Información).')
76701517,MASTERCARD ADMINISTRADORA CHILE S.A.,SIN_COMPOSICION_NOMINAL,RuntimeError('SIN_COMPOSICION_NOMINAL: la CMF devuelve la tabla de directorio sin personas (Sin Información).')
96623540,MATIC KARD S.A.,SIN_COMPOSICION_NOMINAL,RuntimeError('SIN_COMPOSICION_NOMINAL: la CMF devuelve la tabla de directorio sin personas (Sin Información).')
77214066,MERCADO PAGO EMISORA S.A.,SIN_COMPOSICION_NOMINAL,RuntimeError('SIN_COMPOSICION_NOMINAL: la CMF devuelve la tabla de directorio sin personas (Sin Información).')
76516950,MERCADO PAGO OPERADORA S.A.,SIN_COMPOSICION_NOMINAL,RuntimeError('SIN_COMPOSICION_NOMINAL: la CMF devuelve la tabla de directorio sin personas (Sin Información).')
77057498,METRO EMISORA DE MEDIOS DE PAGO S.A.,SIN_COMPOSICION_NOMINAL,RuntimeError('SIN_COMPOSICION_NOMINAL: la CMF devuelve la tabla de directorio sin personas (Sin Información).')
