severidad,check,detalle,n
PASS,universo_rut_unico,RUT duplicados: 0,0
PASS,porcentaje_cmf_rango,Fuera de 0-100: 0,0
PASS,porcentaje_cmf_disponible,Sin porcentaje oficial: 0,0
PASS,cobertura_resumen,Faltan=0; extras=0,0
PASS,raw_presentes,RAW ausentes: 0,0
PASS,sha256_raw,Hashes distintos: 0,0
PASS,listados_cmf,Listados de mercado con descarga no utilizable: 0,0
PASS,errores_descarga_directorio,Errores reales: 0,0
WARN,sin_composicion_nominal,Entidades sin composición nominal pública: 30,30
PASS,reparseo_independiente,Errores: 0,0
PASS,directores_vs_raw,Sólo pipeline=0; sólo RAW=0,0
PASS,solo_titulares,Filas con cargo excluible: 0,0
PASS,sexo_sin_resolver,Filas REVISAR: 0,0
PASS,aritmetica_nominal,Diferencias: 0,0
PASS,umbral_legal,Esperado 80%; usado 80%,
WARN,registro_nominal_vs_reporte_cmf,"Discordancias materiales >0,6 pp: 37",37
PASS,fuente_cmf_online,La página CMF coincide byte a byte con la captura,
